iter	Passed	Remaining
0	142	142371
1	143	71435
2	144	48036
3	145	36161
4	145	29030
5	146	24267
6	147	20876
7	147	18327
8	148	16346
9	149	14761
10	149	13459
11	150	12385
12	151	11468
13	151	10687
14	152	10006
15	153	9462
16	154	8938
17	155	8473
18	155	8052
19	156	7674
20	157	7335
21	158	7027
22	158	6744
23	159	6485
24	160	6243
25	160	6021
26	161	5815
27	162	5626
28	163	5482
29	164	5315
30	165	5161
31	165	5015
32	166	4881
33	167	4753
34	168	4634
35	168	4521
36	169	4416
37	170	4313
38	171	4216
39	171	4121
40	172	4031
41	173	3951
42	174	3874
43	175	3804
44	175	3730
45	176	3658
46	177	3589
47	177	3523
48	178	3459
49	178	3398
50	179	3342
51	180	3287
52	187	3357
53	188	3305
54	189	3253
55	190	3203
56	192	3189
57	194	3150
58	194	3104
59	195	3062
60	196	3019
61	196	2977
62	197	2936
63	198	2896
64	198	2858
65	199	2820
66	199	2783
67	200	2748
68	201	2714
69	201	2681
70	202	2647
71	203	2619
72	203	2590
73	204	2560
74	205	2530
75	205	2502
76	206	2474
77	206	2446
78	207	2418
79	208	2392
80	208	2366
81	209	2341
82	209	2314
83	210	2291
84	210	2267
85	211	2244
86	211	2222
87	212	2200
88	212	2179
89	213	2163
90	214	2143
91	215	2123
92	215	2103
93	216	2084
94	216	2065
95	217	2047
96	217	2029
97	218	2012
98	219	1995
99	219	1978
100	220	1961
101	220	1945
102	221	1929
103	222	1913
104	222	1898
105	223	1887
106	224	1874
107	225	1859
108	225	1845
109	226	1832
110	227	1818
111	227	1804
112	228	1791
113	228	1777
114	229	1764
115	229	1751
116	230	1738
117	230	1725
118	231	1713
119	231	1701
120	232	1689
121	233	1676
122	233	1667
123	234	1660
124	235	1649
125	236	1639
126	236	1628
127	237	1617
128	238	1607
129	238	1596
130	239	1586
131	239	1576
132	240	1566
133	240	1556
134	241	1547
135	242	1538
136	242	1528
137	243	1519
138	243	1510
139	244	1504
140	245	1496
141	246	1486
142	246	1479
143	247	1471
144	248	1463
145	248	1454
146	249	1448
147	250	1440
148	250	1432
149	251	1424
150	251	1416
151	252	1408
152	253	1400
153	253	1393
154	255	1390
155	255	1383
156	256	1376
157	256	1369
158	257	1361
159	258	1354
160	258	1346
161	258	1339
162	259	1332
163	260	1325
164	260	1319
165	261	1313
166	262	1307
167	262	1300
168	263	1294
169	263	1287
170	264	1281
171	265	1277
172	266	1272
173	266	1266
174	267	1261
175	268	1256
176	268	1250
177	269	1244
178	270	1238
179	270	1233
180	271	1227
181	271	1222
182	272	1216
183	273	1210
184	273	1205
185	274	1199
186	275	1196
187	275	1191
188	276	1186
189	277	1181
190	277	1176
191	278	1171
192	278	1166
193	279	1161
194	280	1156
195	280	1151
196	281	1146
197	281	1141
198	282	1136
199	282	1131
200	283	1126
201	283	1121
202	284	1116
203	285	1114
204	286	1110
205	287	1106
206	287	1101
207	288	1097
208	288	1093
209	289	1088
210	290	1084
211	290	1080
212	291	1075
213	291	1071
214	292	1067
215	292	1062
216	293	1058
217	293	1054
218	294	1050
219	295	1046
220	296	1044
221	297	1041
